name,latitude,longitude,category,time,nearest,rank,id
안중근의사기념관,37.55587,126.97687,문화관광,3,도동삼거리,29,1
국립현대미술관/덕수궁관,37.56633145,126.9738998,문화관광,3,시립미술관,35,2
서울시립미술관,37.56415985,126.9738078,문화관광,3,시립미술관,38,3
국립극장,37.5680428,127.009194,문화관광,3,동대문디자인플라자,45,4
피크닉,37.5562435,126.9780043,문화관광,3,도동삼거리,49,5
화폐박물관,37.5687132,126.9826727,문화관광,3,광교사거리 남측,44,6
서울애니메이션센터,37.55978425,126.9829361,문화관광,3,회현사거리 남측,47,7
충무아트센터,37.5656896,127.0147355,문화관광,3,신당역 12번 출구 뒤,54,8
국립정동극장,37.56586475,126.9727723,문화관광,3,시립미술관,61,9
동대문역사문화공원,37.56706855,127.009899,문화관광,3,동대문디자인플라자,63,10
소월아트홀,37.549734,127.0441677,문화관광,3,서울숲 IT캐슬,40,11
디뮤지엄,37.5441363,127.0441508,문화관광,3,서울숲역 4번 출구 옆,47,12
피치스도원,37.5449278,127.0517973,문화관광,3,유니베라 앞,54,13
뚝섬미술관,37.5436308,127.0589921,문화관광,3,우영테크노센터 앞,54,14
응봉산암벽공원,37.5493857,127.0311149,문화관광,3,응봉현대아파트 정류소,60,15
그라운드시소/성수,37.5464061,127.0652431,문화관광,3,푸조비즈타워 앞,58,16
서울특별시교육청/정독도서관,37.57953235,126.983196,문화관광,3,재동초교 앞 삼거리,11,17
낙산공원,37.5814048,127.0131384,문화관광,3,쌍용아파트2단지 정문,9,18
국립고궁박물관,37.57657675,126.9748394,문화관광,3,경복궁역 4번출구 뒤,15,19
국제갤러리,37.58072705,126.9805659,문화관광,3,국립현대미술관,37,20
서울공예박물관,37.57655195,126.9834467,문화관광,3,안국동사거리(신),32,21
서울역사박물관,37.5704784,126.9705257,문화관광,3,서울역사박물관 앞,34,22
두산아트센터,37.5720422,127.0015088,문화관광,3,서울특별시 중부교육지원청,49,23
경찰박물관,37.572094,126.9620757,문화관광,3,독립문역 사거리,64,24
SETEC,37.49348,127.0612738,문화관광,3,대치역 7번출구,27,25
마이아트뮤지엄,37.4995434,127.0331249,문화관광,3,포스코피앤에스타워 (역삼역 3번출구 부근),25,26
롯데백화점/본점,37.56485565,126.9817065,쇼핑,1.5,을지로입구역 8번출구,5,27
신세계백화점/본점,37.5602936,126.9805031,쇼핑,1.5,신세계면세점,2,28
남대문시장,37.5560278,126.9722244,쇼핑,1.5,서울역9번출구,2,29
롯데영플라자/명동점,37.5687132,126.9826727,쇼핑,1.5,광교사거리 남측,13,30
ddp패션몰,37.5680052,127.0158177,쇼핑,1.5,신당역 10번 출구,21,31
굿모닝시티,37.5663755,127.0073863,쇼핑,1.5,동대문역사문화공원역 1번출구 뒤편,22,32
HelloAPM,37.56742945,127.0080591,쇼핑,1.5,동대문역사문화공원역 1번출구 뒤편,24,33
에이피엠플레이스,37.56612,127.007477,쇼핑,1.5,동대문역사문화공원역 9번출구 앞,25,34
동평화패션타운,37.5686536,126.9822422,쇼핑,1.5,광교사거리 남측,42,35
삼익패션타운,37.5594036,126.9786697,쇼핑,1.5,회현역 7번출구,59,36
남평화상가 + 밀리오레/동대문점,37.5680428,127.009194,쇼핑,1.5,동대문디자인플라자,66,37
엔터식스/왕십리역점,37.5612222,127.0371358,쇼핑,1.5,왕십리역 4번 출구 건너편,8,38
금남시장,37.5543474,127.0340467,쇼핑,1.5,응봉삼거리,12,39
뚝도시장,37.5382722,127.0546296,쇼핑,1.5,성수2가1동 공영주차장 인근,41,40
낙원상가,37.5709876,126.98757,쇼핑,1.5,탑골공원 앞,16,41
세운상가,37.5696269,126.9950686,쇼핑,1.5,세운상가,22,42
안녕인사동,37.5744391,126.9837145,쇼핑,1.5,안국동사거리(신),14,43
통인시장,37.58075525,126.9699963,쇼핑,1.5,자교교회 앞,19,44
동화면세점/본점,37.5699832,126.97722,쇼핑,1.5,광화문역 5번출구,30,45
동대문쇼핑타운,37.5703819,127.0077721,쇼핑,1.5,종로꽃시장 입구 옆,52,46
창신동문구시장,37.5710602,127.0140897,쇼핑,1.5,동묘앞역 6번출구,65,47
현대백화점/압구정본점,37.52736555,127.0275192,쇼핑,1.5,압구정역 2번 출구 옆,2,48
롯데백화점/강남점,37.4969688,127.0532411,쇼핑,1.5,한티역 롯데백화점 앞,6,49
캉카스백화점,37.5135682,127.05643,쇼핑,1.5,삼성중앙역4번출구(문화센터더 리빌),16,50
조던서울,37.5243164,127.0241243,쇼핑,1.5,신사동주민센터 옆,30,51
파르나스몰,37.5090726,127.0607194,쇼핑,1.5,섬유센터 앞,45,52
덕수궁,37.56633145,126.9738998,역사관광지,2.5,시립미술관,9,53
숭례문,37.5668639,126.9773672,역사관광지,2.5,서울도시건축전시관,39,54
서소문성지역사박물관,37.5594426,126.9689088,역사관광지,2.5,종로학원본원,43,55
응봉산팔각정,37.5543474,127.0340467,역사관광지,2.5,응봉삼거리,16,56
북촌한옥마을,37.579046,126.9863882,역사관광지,2.5,재동초교 앞 삼거리,19,57
경복궁+광화문,37.5759183,126.9768293,역사관광지,2.5,광화문 시민열린마당,32,58
흥인지문,37.57111105,127.0096066,역사관광지,2.5,동대문역 8번 출구,57,59
남산공원,37.55614,126.97913,휴양관광지,2,도동삼거리,7,60
만리재길+남산백범광장,37.5560278,126.9722244,휴양관광지,2,서울역9번출구,51,61
서울숲,37.5394111,127.0529402,휴양관광지,2,이마트 버스정류소 옆,1,62
청와대앞길,37.5823691,126.980198,휴양관광지,2,청와대앞길,36,63
대학로/마로니에공원,37.5736536,127.0020522,휴양관광지,2,서울보증보험본사 앞,27,64
탑골공원,37.57156965,126.9881862,휴양관광지,2,탑골공원 앞,52,65
사직공원,37.5762994,126.9685826,휴양관광지,2,사직동주민센터,62,66
