name,latitude,longitude,category,nearest,rank,id
태극당장충본점,37.5605748,127.0047825,카페/찻집,동대입구역 3번 출구,1,1
카페어니언성수점,37.545373,127.058311,카페/찻집,성수아카데미타워 앞,1,2
블루보틀성수카페,37.5436308,127.0589921,카페/찻집,우영테크노센터 앞,7,3
블루보틀삼청카페,37.5801069,126.980857,카페/찻집,국립현대미술관,16,4
테라로사광화문지점,37.5742015,126.9784667,카페/찻집,광화문 시민열린마당,18,5
카페노티드청담,37.5243089,127.0385324,카페/찻집,K+ 타워 앞,1,6
테라로사포스코센터점,37.4995434,127.0331249,카페/찻집,포스코피앤에스타워 (역삼역 3번출구 부근),20,7
스타벅스성수역점,37.5382722,127.0546296,카페/찻집,성수2가1동 공영주차장 인근,22,8
김영모과자점도곡타워점,37.4879664,127.0521222,카페/찻집,도곡역 아카데미스위트 앞,10,9
스타벅스한양대점,37.549734,127.0441677,카페/찻집,서울숲 IT캐슬,25,10
스타벅스주얼리시티점,37.5710709,127.0038782,카페/찻집,동대문 종합시장 버스정류장,38,11
밀도,37.549734,127.0441677,카페/찻집,서울숲 IT캐슬,28,12
스타벅스왕십리역점,37.549734,127.0441677,카페/찻집,서울숲 IT캐슬,19,13
폴바셋광화문점,37.5742015,126.9784667,카페/찻집,광화문 시민열린마당,35,14
리사르커피로스터스,37.5521585,127.0103332,카페/찻집,약수동 주민센터,17,15
카페노티드삼성,37.5100587,127.0639309,카페/찻집,삼성역 8번출구,4,16
카페노티드안국,37.58719,126.98236,카페/찻집,삼청공원 앞,8,17
런던베이글뮤지엄,37.5792893,126.9861472,카페/찻집,재동초교 앞 삼거리,6,18
스타벅스황학사거리점,37.549734,127.0441677,카페/찻집,서울숲 IT캐슬,31,19
인더매스마장점,37.5674629,127.0449692,카페/찻집,마장동 주민센터,9,20
스타벅스별다방점,37.5653839,127.016252,카페/찻집,신당역 12번 출구 뒤,32,21
스태픽스,37.57744145,126.9678099,카페/찻집,사직동주민센터,13,22
청수당,37.5735683,126.9905822,카페/찻집,종로3가역 8번출구,21,23
아우프글렛,37.549351,127.0266047,카페/찻집,금호사거리,34,24
카페온화성수점,37.5441373,127.0577804,카페/찻집,성수역 2번출구 앞,25,25
로우키,37.5449278,127.0517973,카페/찻집,유니베라 앞,40,26
카멜커피,37.5375464,127.0570691,카페/찻집,성수2가1동 공영주차장 인근,27,27
카페마뫼,37.55614,126.97913,카페/찻집,도동삼거리,37,28
서울앵무새,37.5494454,127.0436973,카페/찻집,뚝섬역 1번 출구 옆,15,29
RSG성수,37.542062,127.0598684,카페/찻집,우영테크노센터 앞,5,30
스타벅스스페이스본점,37.5744515,126.9688493,카페/찻집,광화문 풍림스페이스본 1단지앞,10,31
스타벅스종로평창동점,37.606912,126.9670783,카페/찻집,평창동 주민센터,28,32
스타벅스성수낙낙점,37.5470447,127.0663778,카페/찻집,페코텍글로벌허브빌딩 앞,12,33
리사르커피청담점,37.52670765,127.0513354,카페/찻집,신청담나들목,28,34
몰또이탈리안에스프레소바,37.564327,126.9860873,카페/찻집,명동성당 앞,23,35
스타벅스금호역점,37.5469996,127.0162538,카페/찻집,금호역 3번출구,23,36
꽁티드툴레아도산점,37.5239713,127.0372405,카페/찻집,K+ 타워 앞,33,37
스타벅스강남세곡점,37.4670378,127.0978252,카페/찻집,은곡마을,39,38
아우어베이커리광화문디팰리스점,37.5693948,126.974339,카페/찻집,광화문 S타워 앞,35,39
새들러하우스성수2호점,37.5388648,127.052724,카페/찻집,이마트 버스정류소 옆,14,40
프롤라,37.5422567,127.0616048,카페/찻집,성수사거리 버스정류장 앞,41,41
