name,latitude,longitude,category,nearest,rank,id
텍사스데브라질압구정점,37.471318,127.0511927,남미음식,구룡사 앞 교차로 (보도육교),129,1
감성타코광화문점,37.5728929,126.9724356,남미음식,서울지방경찰청,145,2
아리아,37.5650051,126.9796507,양식,롯데호텔,18,3
애슐리퀸즈종각역점,37.5707012,126.9835649,양식,종로타워빌딩,59,4
울프강스테이크하우스,37.5242666,127.0412592,양식,청담동 맥도날드 옆(위치),13,5
VIPS도곡역점,37.4906935,127.0561248,양식,도곡역 1번 출구,100,6
아웃백스테이크하우스도곡점,37.4920442,127.0573092,양식,도곡역 대치지구대 방향,93,7
브레라,37.567665,127.0160853,양식,신당역 10번 출구,132,8
라세느롯데호텔서울,37.5659078,126.9843865,양식,을지로지하쇼핑센터,15,9
아웃백스테이크하우스강남점,37.4845641,127.0341866,양식,양재역 3번출구 주변,133,10
라그릴리아광화문점,37.5693449,126.9787588,양식,광화문역 5번출구,119,11
아웃백스테이크하우스명동점,37.56531255,126.9837007,양식,KEB 하나금융그룹 명동사옥 옆,110,12
오아시스,37.5250519,127.0407675,양식,청담동 맥도날드 옆(위치),104,13
마이클바이해비치,37.5710358,126.9829186,양식,종로타워빌딩,67,14
빌즈강남,37.4995434,127.0331249,양식,포스코피앤에스타워 (역삼역 3번출구 부근),145,15
소금집델리안국점,37.5792893,126.9861472,양식,재동초교 앞 삼거리,55,16
더플라자호텔세븐스퀘어,37.5646228,126.9780753,양식,웨스틴 조선호텔,143,17
오엔,37.5251538,127.0215598,양식,현대고등학교 건너편,47,18
페스타바이민구,37.5596486,127.0048039,양식,동대입구역 6번출구 뒤,98,19
스케줄청담,37.5242666,127.0412592,양식,청담동 맥도날드 옆(위치),25,20
더코너키친,37.6042804,126.9637087,양식,천지인 오피스텔 앞,121,21
원조남산왕돈까스,37.55614,126.97913,일식,도동삼거리,38,22
보노보노삼성점,37.4995434,127.0331249,일식,포스코피앤에스타워 (역삼역 3번출구 부근),27,23
갓덴스시종로점,37.5697352,126.9857522,일식,종로2가 버스정류장 (종각방향),119,24
스시도쿠,37.549734,127.0441677,일식,서울숲 IT캐슬,70,25
쿠우쿠우명동본점,37.56413885,126.9853884,일식,명동성당 앞,147,26
붓처스컷광화문점,37.568291,126.977942,일식,청계광장 옆,79,27
